00-database-info	1	361
00-database-short	363	38
00-database-url	39c	42
a	3df	334
a b c	7d9	b2
a b c - book	8bc	46
a font	90e	41
a fortiori	962	3d
a la carte	9ac	74
a la mode	a34	3d
a posteriori	a7f	bb
a priori	b59	9d
a-bomb	c11	2d
a-going	c45	99
a-plenty	d02	4c
a-power	d60	4d
a.d.	dc0	63
a.m.	e2f	2f
aard-wolf	e62	49
aasvogel	ebb	49
aba	f12	4b
abaci	f6f	b9
aback	104a	123
abacus	11b3	ba
abaddon	128f	3a
abaft	12d7	a1
abalone	139e	3c
abandon	13e8	152
abandoned	158f	52
abandoner	15fa	3c
abandonment	1645	a8
abase	1727	6e
abasement	17b3	5a
abash	1828	4e
abashment	188e	4d
abask	18f2	59
abatable	1965	cf
abate	1a79	18d
abatement	1c71	f0
abatis	1db1	5e
abatised	1e2a	55
abattoir	1e99	35
abb	1ed9	44
abbacy	1f30	4f
abbatial	1f96	39
abbess	1fdd	2f
abbey	2016	55
abbot	207e	2f
abbreviate	20b7	9a
abbreviated	2180	65
abbreviation	21fe	d9
abbreviator	230d	37
abdicant	234f	58
abdicate	23bb	c6
abdication	24b9	6a
abdicator	2545	59
abdomen	25b2	26
abdominal	25df	83
abdominous	267a	2f
abducent	26b4	41
abduct	2703	72
abduction	2797	7a
abductor	2836	81
abeam	28d8	82
abecedarian	2973	89
abed	2a1f	48
abele	2a7a	3b
abelmosk	2ac4	41
aberrance	2b13	66
aberrancy	2b90	66
aberrant	2c0d	47
aberration	2c66	112
abet	2daa	52
abetment	2e11	67
abettal	2e90	66
abette	2f0e	4b
abettor	2f69	4c
abeyance	2fc5	1b2
abeyant	31f5	47
abhor	3253	3f
abhorrence	32a4	c2
abhorrent	338e	184
abidance	3565	af
abide	3640	21a
abiding	38d6	55
abietene	3941	35
abigail	397e	2f
abilitate	39b9	4a
ability	3a12	13c
abiogenesis	3b9b	6e
abiogenetic	3c19	50
abiogenetically	3c76	56
abiogenist	3cda	4f
abiogenous	3d37	4c
abiogeny	3d92	6b
abiological	3e0d	3d
abiotic	3e57	2b
abject	3e89	96
abjection	3f43	47
abjectness	3fa0	74
abjuration	4039	6a
abjure	40c9	fa
ablactation	4201	41
ablate	4252	34
ablation	4295	9e
ablative	4368	6f
ablaut	43f3	34
ablaze	4430	88
able	44da	108
able-bodied	461e	9b
ablen	46df	5f
ablet	4754	5f
ablings	47c9	4a
ablins	4821	49
abloom	4878	39
abluent	48bc	55
ablush	4929	33
ablution	496d	c8
ably	4a80	43
abnegate	4ad1	7c
abnegation	4b73	b4
abnormal	4c59	4d
abnormalcy	4cbb	a8
abnormality	4d8a	a9
abnormity	4e5a	a7
aboard	4f28	1de
abode	515c	ba
aboil	5245	2f
abolish	527f	be
abolishable	536c	55
abolisher	53dc	4e
abolishment	5444	4a
abolition	54a5	9a
abolitionise	5569	7f
abolitionism	5605	45
abolitionist	565a	47
abolitionize	56b0	7f
abominable	574c	c6
abominableness	583e	5d
abominate	58b3	90
abomination	5966	bc
aboriginal	5a4d	132
aborigines	5bc8	90
abort	5c78	a1
aborted	5d3f	57
aborticide	5da8	37
abortifacient	5de8	61
abortion	5e5a	102
abortionist	5fb3	37
abortive	5ff5	104
abortiveness	613e	82
aboulia	61e6	4d
abound	6242	c9
abounding	6337	40
about	6383	5b2
about-face	6a3e	a8
about-sledge	6b1a	3c
above	6b62	4ce
above-board	7131	5b
above-ground	71a3	82
above-mentioned	724f	3f
abracadabra	729a	4a
abradant	72f6	4f
abrade	7355	52
abranchial	73bc	5b
abranchiate	742a	5c
abrasion	7499	7c
abrasive	753b	66
abreast	75ba	d3
abridge	76a7	a9
abridgement	777d	a1
abridgment	784b	a0
abroach	7918	9e
abroad	79e2	266
abrogate	7cc6	b3
abrogation	7da5	56
abrupt	7e15	1d6
abruption	806b	3a
abruptness	80b7	bb
abscess	81b3	4e
absciss	8214	3d
abscissa	825c	44
abscissae	82aa	45
abscisse	82f9	43
abscission	8345	35
abscond	8387	4e
absconder	83ed	5f
absence	8469	1a0
absent	8657	11e
absent-minded	87b1	36
absent-mindedness	87f0	4e
absentee	884c	82
absenteeism	88fa	7d
absently	8998	2a
absinth	89cb	6c
absinthe	8a4a	6d
absinthian	8aca	34
absolute	8b07	1be
absolutely	8d2e	11e
absoluteness	8e8f	49
absolution	8ee6	5f
absolutism	8f5d	58
absolutist	8fc8	54
absolve	902d	139
absonant	91a4	78
absorb	9239	179
absorbability	93f3	3f
absorbable	943c	6f
absorbed	94cf	7f
absorbedly	9565	49
absorbefacient	95bd	83
absorbent	965a	cc
absorber	9755	54
absorbing	97be	b0
absorption	988f	59
absorptive	98ff	52
absorptivity	995c	3d
abstain	99a2	a6
abstainer	9a63	64
abstaining	9adc	34
abstemious	9b18	71
abstention	9ba9	54
absterge	9c0c	37
abstergent	9c53	66
abstersion	9cd2	3e
abstersive	9d21	34
abstinence	9d60	c1
abstinency	9e50	50
abstinent	9eb2	41
abstract	9f03	197
abstracted	a0fe	2f
abstractedly	a136	5e
abstractedness	a1a7	39
abstraction	a1ea	da
abstractionism	a30e	50
abstractionist	a371	9f
abstractness	a43c	4a
abstruse	a495	41
abstruseness	a4e3	57
absurd	a549	4e
absurdity	a5ae	64
abulia	a631	4c
abundance	a68c	ed
abundant	a7b6	a4
abuse	a879	237
abuser	ab5c	9b
abusive	ac2e	cb
abusiveness	ad3c	bb
abut	ae3c	73
abutilon	aeca	46
abutment	af20	7b
abuttal	afc2	42
abutter	b015	5d
abysm	b08d	32
abysmal	b0c5	71
abyss	b151	54
abyssal	b1be	a6
acacia	b28d	3c
academe	b2d8	44
academic	b32e	245
academical	b61a	51
academicals	b682	69
academician	b70a	31
academy	b746	118
acaleph	b8a3	29
acanthi	b8d4	6f
acanthus	b959	70
acari	b9df	46
acarpellous	ba39	45
acarpous	ba8e	40
acarus	bade	47
acaulesent	bb39	44
acauline	bb8d	42
acaulose	bbdf	42
acaulous	bc31	42
accede	bc83	1a9
accelerate	be7d	e7
accelerating	bf9d	6e
acceleration	c01d	9a
accelerative	c0d7	47
accelerator	c129	d1
accent	c225	23d
accentor	c4e5	3c
accentual	c52e	49
accentuate	c588	7f
accentuation	c62e	7f
accept	c6d5	15b
acceptability	c885	66
acceptable	c904	94
acceptance	c9c5	1dc
acceptation	cc13	81
accepted	ccbb	48
acceptor	cd1b	75
access	cdac	1f8
accessary	d019	ea
accessibility	d143	71
accessible	d1da	f8
accession	d31b	1ce
accessory	d555	ea
accidence	d67f	61
accident	d6fe	14e
accidental	d89c	b3
accidentally	d980	3e
accipitral	d9ca	84
acclaim	da62	7f
acclamation	daf9	102
acclamatory	dc27	76
acclimatation	dcb4	99
acclimate	dd67	127
acclimation	decd	97
acclimatise	df7e	129
acclimatization	e0e6	9b
acclimatize	e19b	129
acclivity	e303	2e
acclivous	e33a	2e
accolade	e373	6e
accommodate	e3fe	276
accommodating	e6e3	70
accommodation	e771	ea
accommodation train	e8a6	68
accommodation unit	e92a	3d
accommodation-ladder	e971	8d
accompaniment	ea21	82
accompanist	eac8	48
accompany	eb23	7d
accomplice	ebc2	3f
accomplish	ec11	141
accomplished	ed9c	eb
accomplishment	eec8	1a1
accord	f0d9	2d6
accordance	f45a	114
accordant	f5a9	65
according	f627	b7
accordingly	f6fe	7b
accordion	f78f	41
accordionist	f7e0	54
accost	f849	7c
accouchement	f8ec	2e
accoucheur	f925	31
accoucheuse	f965	39
account	f9ac	cf7
accountability	1094a	58
accountable	109b2	fc
accountancy	10ae6	35
accountant	10b25	b9
accountantship	10c16	3a
accounting	10c5b	c6
accoutre	10d4f	51
accoutrement	10db8	96
accredit	10e7a	190
accredited	11051	b4
accrescent	11137	52
accrete	1119d	b9
accretion	1128a	b4
accretive	11373	57
accrual	113e3	79
accrue	1147f	1af
accruement	11687	7c
accumulate	11726	12d
accumulation	11896	112
accumulative	11a01	c1
accumulator	11af6	a8
accuracy	11bcf	e0
accurate	11cd9	91
accurateness	11d88	e4
accursal	11e96	ec
accursed	11fbd	92
accurst	12075	91
accusation	1212c	ee
accusative	12255	6c
accusatorial	122dd	64
accusatory	12357	62
accuse	123cf	79
accuser	12471	4e
accustom	124d2	7f
accustomed	12565	d1
ace	12655	35d
acephalous	12a88	bd
acerbate	12b84	a5
acerbity	12c58	67
acerose	12cd2	64
acerous	12d48	64
acervate	12dbe	41
acescent	12e0f	31
acetate	12e47	31
acetic	12e7f	7f
acetification	12f0f	4c
acetify	12f6b	61
acetone	12fe5	28
acetous	13011	31
acetylene	1304d	38
ache	1308c	e4
achene	131a7	35
achievable	131ea	ae
achieve	132d1	191
achievement	134b8	14c
achilles	13652	3d
