HeapSort runing time
  5000 - 0
 10000 - 0.001
 15000 - 0.002
 20000 - 0.003
 25000 - 0.004
 30000 - 0.004
 35000 - 0.005
 40000 - 0.005
 45000 - 0.006
 50000 - 0.008
 55000 - 0.006
 60000 - 0.008
 65000 - 0.01
 70000 - 0.009
 75000 - 0.012
 80000 - 0.01
 85000 - 0.013
 90000 - 0.012
 95000 - 0.015
100000 - 0.016
105000 - 0.015
110000 - 0.015
115000 - 0.015
120000 - 0.016
125000 - 0.017
130000 - 0.021
135000 - 0.022
140000 - 0.02
145000 - 0.021
150000 - 0.024
155000 - 0.024
160000 - 0.022
165000 - 0.024
170000 - 0.024
175000 - 0.025
180000 - 0.026
185000 - 0.028
190000 - 0.027
195000 - 0.033
200000 - 0.035
205000 - 0.031
210000 - 0.036
215000 - 0.038
220000 - 0.039
225000 - 0.035
230000 - 0.039
235000 - 0.038
240000 - 0.037
245000 - 0.04
250000 - 0.044
255000 - 0.04
260000 - 0.045
265000 - 0.041
270000 - 0.042
275000 - 0.047
280000 - 0.041
285000 - 0.045
290000 - 0.051
295000 - 0.049
300000 - 0.054
305000 - 0.049
310000 - 0.048
315000 - 0.05
320000 - 0.049
325000 - 0.059
330000 - 0.06
335000 - 0.055
340000 - 0.07
345000 - 0.06
350000 - 0.061
355000 - 0.064
360000 - 0.065
365000 - 0.062
370000 - 0.066
375000 - 0.072
380000 - 0.074
385000 - 0.066
390000 - 0.065
395000 - 0.071
400000 - 0.072
405000 - 0.069
410000 - 0.08
415000 - 0.068
420000 - 0.072
425000 - 0.07
430000 - 0.071
435000 - 0.085
440000 - 0.088
445000 - 0.077
450000 - 0.085
455000 - 0.078
460000 - 0.08
465000 - 0.089
470000 - 0.093
475000 - 0.086
480000 - 0.081
485000 - 0.09
490000 - 0.086
495000 - 0.094
500000 - 0.088
505000 - 0.095
510000 - 0.102
515000 - 0.099
520000 - 0.091
525000 - 0.109
530000 - 0.102
535000 - 0.093
540000 - 0.1
545000 - 0.11
550000 - 0.1
555000 - 0.099
560000 - 0.11
565000 - 0.106
570000 - 0.113
575000 - 0.117
580000 - 0.116
585000 - 0.108
590000 - 0.118
595000 - 0.106
600000 - 0.114
605000 - 0.116
610000 - 0.121
615000 - 0.126
620000 - 0.12
625000 - 0.125
630000 - 0.121
635000 - 0.124
640000 - 0.125
645000 - 0.121
650000 - 0.117
655000 - 0.129
660000 - 0.13
665000 - 0.13
670000 - 0.134
675000 - 0.126
680000 - 0.141
685000 - 0.135
690000 - 0.146
695000 - 0.151
700000 - 0.139
705000 - 0.149
710000 - 0.15
715000 - 0.138
720000 - 0.156
725000 - 0.149
730000 - 0.152
735000 - 0.157
740000 - 0.141
745000 - 0.155
750000 - 0.152
755000 - 0.164
760000 - 0.161
765000 - 0.154
770000 - 0.161
775000 - 0.155
780000 - 0.168
785000 - 0.158
790000 - 0.165
795000 - 0.174
800000 - 0.159
805000 - 0.174
810000 - 0.174
815000 - 0.175
820000 - 0.173
825000 - 0.172
830000 - 0.189
835000 - 0.181
840000 - 0.192
845000 - 0.194
850000 - 0.18
855000 - 0.189
860000 - 0.192
865000 - 0.195
870000 - 0.18
875000 - 0.198
880000 - 0.194
885000 - 0.195
890000 - 0.185
895000 - 0.198
900000 - 0.206
905000 - 0.186
910000 - 0.202
915000 - 0.198
920000 - 0.193
925000 - 0.207
930000 - 0.202
935000 - 0.218
940000 - 0.201
945000 - 0.218
950000 - 0.204
955000 - 0.208
960000 - 0.207
965000 - 0.225
970000 - 0.217
975000 - 0.219
980000 - 0.221
985000 - 0.222
990000 - 0.235
995000 - 0.23
1000000 - 0.219
1005000 - 0.227
1010000 - 0.237
1015000 - 0.237
1020000 - 0.237
1025000 - 0.245
1030000 - 0.223
1035000 - 0.225
1040000 - 0.239
