RadixSort runing time
  5000 - 0
 10000 - 0.001
 15000 - 0.002
 20000 - 0.002
 25000 - 0.004
 30000 - 0.004
 35000 - 0.005
 40000 - 0.006
 45000 - 0.007
 50000 - 0.008
 55000 - 0.008
 60000 - 0.008
 65000 - 0.008
 70000 - 0.01
 75000 - 0.011
 80000 - 0.01
 85000 - 0.012
 90000 - 0.011
 95000 - 0.012
100000 - 0.014
105000 - 0.015
110000 - 0.016
115000 - 0.016
120000 - 0.014
125000 - 0.016
130000 - 0.018
135000 - 0.02
140000 - 0.018
145000 - 0.021
150000 - 0.019
155000 - 0.02
160000 - 0.02
165000 - 0.023
170000 - 0.025
175000 - 0.022
180000 - 0.024
185000 - 0.026
190000 - 0.024
195000 - 0.023
200000 - 0.025
205000 - 0.029
210000 - 0.03
215000 - 0.027
220000 - 0.027
225000 - 0.033
230000 - 0.029
235000 - 0.032
240000 - 0.03
245000 - 0.036
250000 - 0.036
255000 - 0.034
260000 - 0.033
265000 - 0.035
270000 - 0.038
275000 - 0.038
280000 - 0.035
285000 - 0.036
290000 - 0.044
295000 - 0.043
300000 - 0.044
305000 - 0.043
310000 - 0.039
315000 - 0.042
320000 - 0.042
325000 - 0.042
330000 - 0.042
335000 - 0.044
340000 - 0.045
345000 - 0.05
350000 - 0.047
355000 - 0.047
360000 - 0.057
365000 - 0.056
370000 - 0.053
375000 - 0.056
380000 - 0.056
385000 - 0.051
390000 - 0.053
395000 - 0.058
400000 - 0.054
405000 - 0.06
410000 - 0.063
415000 - 0.063
420000 - 0.057
425000 - 0.063
430000 - 0.056
435000 - 0.064
440000 - 0.066
445000 - 0.064
450000 - 0.059
455000 - 0.062
460000 - 0.062
465000 - 0.069
470000 - 0.071
475000 - 0.069
480000 - 0.071
485000 - 0.062
490000 - 0.076
495000 - 0.076
500000 - 0.066
505000 - 0.076
510000 - 0.071
515000 - 0.071
520000 - 0.08
525000 - 0.08
530000 - 0.075
535000 - 0.078
540000 - 0.073
545000 - 0.073
550000 - 0.087
555000 - 0.072
560000 - 0.083
565000 - 0.075
570000 - 0.082
575000 - 0.083
580000 - 0.079
585000 - 0.088
590000 - 0.08
595000 - 0.08
600000 - 0.086
605000 - 0.092
610000 - 0.093
615000 - 0.09
620000 - 0.084
625000 - 0.086
630000 - 0.097
635000 - 0.095
640000 - 0.099
645000 - 0.092
650000 - 0.09
655000 - 0.096
660000 - 0.094
665000 - 0.095
670000 - 0.092
675000 - 0.094
680000 - 0.1
685000 - 0.094
690000 - 0.107
695000 - 0.107
700000 - 0.096
705000 - 0.105
710000 - 0.105
715000 - 0.107
720000 - 0.109
725000 - 0.105
730000 - 0.109
735000 - 0.107
740000 - 0.107
745000 - 0.111
750000 - 0.112
755000 - 0.118
760000 - 0.109
765000 - 0.119
770000 - 0.111
775000 - 0.109
780000 - 0.119
785000 - 0.117
790000 - 0.123
795000 - 0.109
800000 - 0.108
805000 - 0.113
810000 - 0.121
815000 - 0.116
820000 - 0.122
825000 - 0.114
830000 - 0.116
835000 - 0.119
840000 - 0.13
845000 - 0.127
850000 - 0.126
855000 - 0.129
860000 - 0.125
865000 - 0.119
870000 - 0.118
875000 - 0.127
880000 - 0.121
885000 - 0.133
890000 - 0.124
895000 - 0.133
900000 - 0.127
905000 - 0.13
910000 - 0.133
915000 - 0.139
920000 - 0.138
925000 - 0.143
930000 - 0.143
935000 - 0.138
940000 - 0.147
945000 - 0.14
950000 - 0.143
955000 - 0.147
960000 - 0.139
965000 - 0.133
970000 - 0.152
975000 - 0.134
980000 - 0.143
985000 - 0.152
990000 - 0.153
995000 - 0.153
1000000 - 0.149
1005000 - 0.148
1010000 - 0.142
1015000 - 0.157
1020000 - 0.146
1025000 - 0.147
1030000 - 0.145
1035000 - 0.148
1040000 - 0.163
